id,latitude,kelp,
71604710,-42.97140262,0,
71604964,-42.97190485,0,
72241557,-43.05896317,1,
72241560,-43.05896317,0,
72241561,-43.05896317,1,
72241565,-43.05896317,1,
72241568,-43.05896317,0,
72870475,-42.213416,0,
73442517,-42.12884678,0,
73442539,-42.12986125,0,
73442570,-42.12875845,0,
73442594,-42.13075219,0,
73442613,-42.12802724,0,
73442684,-42.12970648,0,
73442692,-42.12967166,0,
73442694,-42.12942225,0,
73464583,-42.05752824,0,
73464613,-42.05520942,0,
73464699,-42.05638587,0,
73464703,-42.05651795,0,
73469203,-43.05885671,0,
73469214,-43.05885671,0,
73473768,-42.97118525,1,
73473786,-42.97160917,0,
73473797,-42.97200457,0,
73563884,-43.13386789,0,
73563901,-43.13518292,1,Blurry
73585223,-43.14157306,0,
73585249,-43.13962504,0,? Too smooth
73585285,-43.13801883,1,
73585287,-43.13818323,1,
73607075,-43.57985946,0,
73607079,-43.57944009,0,
73607081,-43.57955355,0,
73607084,-43.57894017,0,
73607089,-43.57886896,0,
73607092,-43.57889937,0,
73607093,-43.5788018,0,
73607096,-43.57891328,0,
73607099,-43.57909946,0,
73607106,-43.57862068,0,
73607113,-43.57844492,0,
73607139,-43.58039413,0,
73607150,-43.58106608,0,
73607155,-43.58182362,0,
73729010,-43.43791061,0,
76713875,-40.23047604,0,
76713888,-40.23067262,0,
76713915,-40.23063986,0,
76713924,-40.23054157,0,
82281898,-41.06529845,0,
83332736,-42.5836,0,
84164010,-42.20740855,0,
84164099,-43.05909747,1,? Blurry
84164100,-43.05909747,1,
84164108,-43.05909747,0,Giant Kelp? Or both?
95827660,-43.05880742,0,
95827663,-43.05880742,1,
97751056,-42.10491208,0,
97751058,-42.10491208,0,
97756196,-42.13698726,0,
97756199,-42.13698726,1,
97756200,-42.13698726,0,
97756226,-42.13698726,0,
100654990,-43.17656333,0,
101386849,-42.8995372,0,
101507257,-42.12882191,0,
101751390,-43.13995644,1,
101751391,-43.13995644,1,
101751398,-43.13995644,0,
102557208,-43.05905456,0,
102557213,-43.05905456,1,
103266925,-42.94132464,1,
104511586,-43.05868984,0,
104511591,-43.05868984,1,
104511592,-43.05868984,0,
104557731,-43.13613926,0,Maybe small fragment?
104610917,-43.05446845,0,
104610919,-43.05446845,0,
104610929,-43.05446845,0,
104610934,-43.05446845,0,
104630047,-42.99746714,0,
104995166,-42.99519527,0,
105902423,-43.05912968,0,
105902434,-43.05912968,0,
106101267,-43.05816008,1,
106231353,-42.99501664,0,Crapweed
106231500,-42.9945671,1,
106419513,-42.9524608,0,?
106590069,-42.88078399,0,
106910404,-42.94132464,1,
106910669,-43.05843899,0,
107283041,-42.95386307,0,
107448957,-42.94132464,0,
107448964,-42.94132464,1,
107932602,-42.95386391,1,?
107932604,-42.95386307,0,Crapweed
108220240,-43.05816008,1,Blurry
108220250,-43.05816008,0,
108357920,-43.05880742,0,?
108645341,-42.57744139,1,?
108645539,-41.87076997,0,
108923052,-42.93973914,0,
108923055,-42.93973914,0,
109271834,-42.9524608,1,Crapweed
110819144,-43.03919022,0,
112484305,-43.00770493,0,
112484307,-43.00770493,1,
112484320,-43.00770493,0,
119181694,-43.06537635,0,
119181695,-43.06537635,0,
129133708,-41.86879384,0,
129133713,-41.86879384,0,
129133730,-42.98433053,0,
129133734,-42.99746813,0,
136252669,-43.19514927,0,
141134270,-43.14123676,0,Blurry
141134278,-43.14123676,0,
141134283,-43.14123676,0,
144071221,-43.38820476,0,
144193015,-43.03487752,1,
144193017,-43.03984167,0,
145235395,-43.00836866,0,
145647649,-42.99483156,0,
146263576,-43.1515987,0,
146263577,-43.1515987,0,
146263796,-43.53370937,0,
146483993,-42.99557029,0,
146779315,-42.99251119,0,
146950193,-43.05850057,0,
146950195,-43.05850057,0,
147490821,-42.9526703,0,
147560283,-43.32294641,0,Crapweed
147873760,-43.0084142,0,
147873761,-43.00844836,0,
147873766,-43.00844316,0,
147910857,-42.98603802,0,
147910967,-42.97192486,0,
148166646,-42.98565662,0,
148166912,-42.98606272,0,
148598003,-43.00748965,0,
148598011,-43.00748965,0,"? Giant Kelp?, Translusent? "
148598024,-43.00748965,0,
149694298,-43.1279666,0,
149888015,-43.007661,0,
149888021,-43.007661,0,
149888036,-43.007661,0,
150177466,-42.9523943,1,
150479623,-43.04718666,0,Giant Kelp?
150479748,-41.86801047,1,
150480096,-41.87026744,0,
150703760,-43.18448267,0,
150997169,-42.97894267,0,Blurry
160264072,-42.21211167,0,
161575290,-43.14121871,1,
163101781,-41.87036058,1,
163102968,-43.12748864,1,
163256756,-41.87017802,0,Dark. Maybe mix? 
166522016,-41.87011784,0,
168906028,-41.34226889,0,
172122202,-42.9086045,0,
172122206,-42.88621731,0,
172122210,-42.92423552,0,
172807083,-43.23197155,1,? Dark
172811285,-43.06045408,1,Blurry
172930994,-41.87352345,0,
173384215,-43.05718229,0,
178086058,-43.00737537,0,
178086345,-42.86484403,0,
178086720,-42.86532606,0,
178320357,-42.86482053,0,Giant Kelp
183316207,-43.13224182,0,
183958257,-43.00841555,0,Giant Kelp
183958258,-43.00841074,0,Giant Kelp?
183958290,-43.00841074,0, Blurry
187453285,-41.71409628,0,
