,id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,geometry,index_right,PB_NAME,PB_NUM,WATER_TYPE,AREA_KM2,UW_Wrack,,,,
10,3854338,2016/02/28 2:39 PM PST,28-02-16,2016-02-28 03:39:00 UTC,Sydney,2991,sea-kangaroo,,2016-08-10 21:44:55 UTC,2023-03-01 12:16:30 UTC,research,CC-BY,http://www.inaturalist.org/observations/3854338,https://inaturalist-open-data.s3.amazonaws.com/photos/4514533/medium.jpeg,,"ecklonia, seaweed, brown, yellow","Snorkeling in 6-20 feet of murky, surgey water with a point-and-shoot not up to the task.

",3,0,FALSE,,"Cabbage Tree Island, New South Wales, Australia",-32.68855452,152.2228691,29,,,,29,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (152.222869098 -32.6885545183),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,U,,,,
11,4644574,14-10-07 14:12,14-10-07,2007-10-14 04:12:14 UTC,Sydney,357375,richardling,Richard Ling,2016-11-27 02:30:43 UTC,2022-07-31 07:34:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4644574,https://inaturalist-open-data.s3.amazonaws.com/photos/8560754/medium.jpg,,"Chordata, Actinopterygii, fish, Gobiesociformes, Gobiesocidae, clingfish, Cochleoceps, Cochleoceps orientalis, Eastern Cleaner Clingfish, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",Eastern Cleaner Clingfish (Cochleoceps orientalis) on kelp,3,0,FALSE,134,"Bare Island, Botany Bay, NSW",-33.991071,151.230797,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.230797 -33.991071),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
12,4773310,27-04-08 12:46,27-04-08,2008-04-27 02:46:39 UTC,Sydney,357375,richardling,Richard Ling,2016-12-14 10:10:37 UTC,2022-07-31 07:34:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4773310,https://inaturalist-open-data.s3.amazonaws.com/photos/5812645/medium.jpg,,"Chordata, Actinopterygii, fish, Perciformes, Kyphosidae, drummer, Atypichthys, Atypichthys strigatus, Australian Mado, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",A large shoal of Australian Mado (Atypichthys strigatus) above a kelp forest,2,0,FALSE,134,"The Labyrinth, Seal Rocks, NSW",-32.446333,152.540531,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (152.540531 -32.446333),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
13,4773386,16-11-08 11:22,16-11-08,2008-11-16 00:22:28 UTC,Sydney,357375,richardling,Richard Ling,2016-12-14 10:22:46 UTC,2022-07-31 07:34:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4773386,https://inaturalist-open-data.s3.amazonaws.com/photos/15571/medium.jpg,,"Chlorophyta, green algae, algae, seaweed, Chlorophyceae, Caulerpales, Caulerpaceae, Caulerpa, Caulerpa filiformis, Bootstrap Caulerpa, Ochrophyta, Phaeophyceae, brown algae, Laminariales, kelp, Lessoniaceae, Ecklonia, Ecklonia radiata, Common Kelp",Bootstrap Caulerpa (Caulerpa filiformis) and Common Kelp (Ecklonia radiata),2,0,FALSE,134,"Fairy Bower, Manly, NSW",-33.800618,151.293754,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.293754 -33.800618),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,U,,,,
14,4932033,16-11-08 11:14,16-11-08,2008-11-16 00:14:03 UTC,Sydney,357375,richardling,Richard Ling,2017-01-12 10:15:38 UTC,2022-07-31 07:34:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4932033,https://inaturalist-open-data.s3.amazonaws.com/photos/6004069/medium.jpg,,"Chordata, Actinopterygii, fish, Perciformes, Mullidae, goatfish, Parupeneus, Parupeneus spilurus, Black-spot Goatfish, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",A Black-spot Goatfish (Parupeneus spilurus) among kelp,2,0,FALSE,134,"Fairy Bower, Manly, NSW",-33.800618,151.293754,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.293754 -33.800618),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
15,4932070,14-03-09 15:01,14-03-09,2009-03-14 04:01:35 UTC,Sydney,357375,richardling,Richard Ling,2017-01-12 10:23:36 UTC,2022-07-31 07:34:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4932070,https://inaturalist-open-data.s3.amazonaws.com/photos/6011839/medium.jpg,,"Chordata, Actinopterygii, fish, Perciformes, Odacidae, cale, weed whiting, Olisthops, Olisthops cyanomelas, Herring Cale, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",A male Herring Cale (Olisthops cyanomelas) swims among kelp,2,0,FALSE,134,"Fairy Bower, Manly, NSW",-33.800618,151.293754,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.293754 -33.800618),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
16,4932098,15-03-09 10:32,15-03-09,2009-03-14 23:32:20 UTC,Sydney,357375,richardling,Richard Ling,2017-01-12 10:27:47 UTC,2023-10-29 02:43:39 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4932098,https://inaturalist-open-data.s3.amazonaws.com/photos/6011869/medium.jpg,,"Chordata, Elasmobranchii, fish, Rajiformes, ray, Rhinobatidae, Trygonorrhina, Trygonorrhina fasciata, Eastern Fiddler Ray, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",An Eastern Fiddler Ray (Trygonorrhina fasciata) lurks beneath kelp,1,0,FALSE,134,"Shelly Beach, Manly, NSW",-33.800177,151.296898,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.296898 -33.800177),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
17,4932271,17-05-09 13:13,17-05-09,2009-05-17 03:13:06 UTC,Sydney,357375,richardling,Richard Ling,2017-01-12 11:01:42 UTC,2022-07-31 07:34:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4932271,https://inaturalist-open-data.s3.amazonaws.com/photos/6011991/medium.jpg,,"Chordata, Elasmobranchii, fish, Carcharhiniformes, shark, whaler shark, Carcharhinidae, requiem shark, Carcharhinus, Carcharhinus obscurus, Dusky Whaler Shark, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",A Dusky Whaler Shark (Carcharhinus obscurus) with hooks swims above kelp,2,0,FALSE,134,"Fairy Bower, Manly, NSW",-33.800618,151.293754,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.293754 -33.800618),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
18,4932275,30-05-09 10:52,30-05-09,2009-05-30 00:52:32 UTC,Sydney,357375,richardling,Richard Ling,2017-01-12 11:02:46 UTC,2023-10-29 02:43:28 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4932275,https://inaturalist-open-data.s3.amazonaws.com/photos/6011993/medium.jpg,,"Mollusca, mollusc, Cephalopoda, cephalopod, Sepiida, cuttlefish, Sepiidae, Sepia, Sepia apama, Australian Giant Cuttlefish, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",An Australian Giant Cuttlefish (Sepia apama) lurks among kelp,1,0,FALSE,134,"Shelly Beach, Manly, NSW",-33.800177,151.296898,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.296898 -33.800177),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,CF,,,,
19,4932281,30-05-09 11:31,30-05-09,2009-05-30 01:31:13 UTC,Sydney,357375,richardling,Richard Ling,2017-01-12 11:04:48 UTC,2023-10-29 02:43:25 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4932281,https://inaturalist-open-data.s3.amazonaws.com/photos/7190/medium.jpg,,"Chordata, Actinopterygii, fish, Syngnathiformes, Syngnathidae, Phyllopteryx, seadragon, Phyllopteryx taeniolatus, Weedy Seadragon, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",A Weedy Seadragon (Phyllopteryx taeniolatus) swims over kelp,1,0,FALSE,134,"Shelly Beach, Manly, NSW",-33.800177,151.296898,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.296898 -33.800177),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
20,4932307,06-06-09 14:14,06-06-09,2009-06-06 04:14:42 UTC,Sydney,357375,richardling,Richard Ling,2017-01-12 11:12:02 UTC,2022-07-31 07:34:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4932307,https://inaturalist-open-data.s3.amazonaws.com/photos/4514784/medium.jpg,,"Chordata, Actinopterygii, fish, Perciformes, Labridae, wrasse, Notolabrus, Notolabrus gymnogenis, Crimson-banded Wrasse, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",A female Crimson-banded Wrasse (Notolabrus gymnogenis) resting on kelp,2,0,FALSE,134,"Halifax Point, Port Stephens, NSW",-32.70922,152.159233,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (152.159233 -32.70922),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
21,4946989,29-12-09 10:59,29-12-09,2009-12-28 23:59:24 UTC,Sydney,357375,richardling,Richard Ling,2017-01-15 02:55:47 UTC,2022-07-31 07:34:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4946989,https://inaturalist-open-data.s3.amazonaws.com/photos/6032807/medium.jpg,,"Chordata, Actinopterygii, fish, Perciformes, Labridae, wrasse, Achoerodus, Achoerodus viridis, Eastern Blue Groper, Blue Groper, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp, Lessoniaceae, Ecklonia, Ecklonia radiata, Common Kelp",An Eastern Blue Groper (Achoerodus viridis) swims over Common Kelp (Ecklonia radiata),2,0,FALSE,134,"Burrill Rocks, Ulladulla, NSW",-35.394389,150.471528,100,,,,100,,,FALSE,,,Ecklonia radiata,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (150.471528 -35.394389),33,Southeast Shelf Transition,37,Transitional Waters,59612.67573,F,,,,
22,4947101,26-01-10 10:50,26-01-10,2010-01-25 23:50:08 UTC,Sydney,357375,richardling,Richard Ling,2017-01-15 03:12:05 UTC,2023-03-31 15:34:57 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4947101,https://inaturalist-open-data.s3.amazonaws.com/photos/6032972/medium.jpg,,"Chordata, Elasmobranchii, fish, Rajiformes, ray, Rhinobatidae, Trygonorrhina, Trygonorrhina fasciata, Eastern Fiddler Ray, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",An Eastern Fiddler Ray (Trygonorrhina fasciata) lurks beneath kelp,1,0,FALSE,134,"Shelley's Bommie, Manly, NSW",-33.8006,151.301447,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.301447 -33.8006),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
23,4947108,26-01-10 13:31,26-01-10,2010-01-26 02:31:50 UTC,Sydney,357375,richardling,Richard Ling,2017-01-15 03:12:57 UTC,2023-03-31 15:34:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4947108,https://inaturalist-open-data.s3.amazonaws.com/photos/6032988/medium.jpg,,"Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp, Lessoniaceae, Ecklonia, Ecklonia radiata, Common Kelp",Common Kelp (Ecklonia radiata),4,0,FALSE,134,"Shelley's Bommie, Manly, NSW",-33.8006,151.301447,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.301447 -33.8006),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,U,,,,
24,4947149,27-02-10 11:10,27-02-10,2010-02-27 00:10:03 UTC,Sydney,357375,richardling,Richard Ling,2017-01-15 03:19:24 UTC,2023-10-29 02:43:14 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4947149,https://inaturalist-open-data.s3.amazonaws.com/photos/6033044/medium.jpg,,"Chordata, Elasmobranchii, fish, Rajiformes, ray, Rhinobatidae, Trygonorrhina, Trygonorrhina fasciata, Eastern Fiddler Ray, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",An Eastern Fiddler Ray (Trygonorrhina fasciata) lurks beneath kelp,1,0,FALSE,134,"The Docks, Jervis Bay, NSW",-35.08205,150.795917,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (150.795917 -35.08205),33,Southeast Shelf Transition,37,Transitional Waters,59612.67573,F,,,,
25,4947221,20-03-10 15:12,20-03-10,2010-03-20 04:12:26 UTC,Sydney,357375,richardling,Richard Ling,2017-01-15 03:28:48 UTC,2023-03-31 15:35:24 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4947221,https://inaturalist-open-data.s3.amazonaws.com/photos/6033122/medium.jpg,,"Chordata, Actinopterygii, fish, Perciformes, Aplodactylidae, seacarp, Aplodactylus, Aplodactylus lophodon, Rock Cale, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",A Rock Cale (Aplodactylus lophodon) resting among kelp,1,0,FALSE,134,"Shelly Beach, Manly, NSW",-33.800177,151.296898,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.296898 -33.800177),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
26,4947323,03-04-10 20:26,03-04-10,2010-04-03 10:26:03 UTC,Sydney,357375,richardling,Richard Ling,2017-01-15 03:41:47 UTC,2023-10-29 02:43:00 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4947323,https://inaturalist-open-data.s3.amazonaws.com/photos/6033359/medium.jpg,,"Chordata, Actinopterygii, fish, Tetraodontiformes, Monacanthidae, filefish, leatherjacket, Brachaluteres, Brachaluteres jacksonianus, Pygmy Leatherjacket, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",A Pygmy Leatherjacket (Brachaluteres jacksonianus) anchors itself at night by biting onto kelp,1,0,FALSE,134,"Pipeline, Port Stephens, NSW",-32.717619,152.139969,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (152.139969 -32.717619),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
27,4947342,03-04-10 21:21,03-04-10,2010-04-03 11:21:53 UTC,Sydney,357375,richardling,Richard Ling,2017-01-15 03:45:13 UTC,2023-10-29 02:43:05 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4947342,https://inaturalist-open-data.s3.amazonaws.com/photos/6033414/medium.jpg,,"Chordata, Actinopterygii, fish, Tetraodontiformes, Monacanthidae, filefish, leatherjacket, Brachaluteres, Brachaluteres jacksonianus, Pygmy Leatherjacket, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",A Pygmy Leatherjacket (Brachaluteres jacksonianus) anchors itself at night by biting onto kelp,1,0,FALSE,134,"Pipeline, Port Stephens, NSW",-32.717619,152.139969,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (152.139969 -32.717619),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
28,4976678,13-03-11 12:03,13-03-11,2011-03-13 01:03:10 UTC,Sydney,357375,richardling,Richard Ling,2017-01-20 13:06:43 UTC,2022-07-31 07:34:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4976678,https://inaturalist-open-data.s3.amazonaws.com/photos/6075533/medium.jpg,,"Chordata, Elasmobranchii, fish, Carcharhiniformes, shark, whaler shark, Carcharhinidae, requiem shark, Carcharhinus, Carcharhinus obscurus, Dusky Whaler Shark, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp, Lessoniaceae, Ecklonia, Ecklonia radiata, Common Kelp",A Dusky Whaler Shark (Carcharhinus obscurus) swims above kelp (Ecklonia radiata),2,0,FALSE,134,"Shelly Beach, Manly, NSW",-33.800177,151.296898,100,,,,100,,,FALSE,,,Ecklonia radiata,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.296898 -33.800177),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
29,4976698,22-04-11 10:41,22-04-11,2011-04-22 00:41:58 UTC,Sydney,357375,richardling,Richard Ling,2017-01-20 13:11:51 UTC,2022-07-31 07:34:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4976698,https://inaturalist-open-data.s3.amazonaws.com/photos/220802/medium.jpg,,"Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp, Lessoniaceae, Ecklonia, Ecklonia radiata, Common Kelp",Common Kelp (Ecklonia radiata),2,0,FALSE,134,"Shelly Beach, Manly, NSW",-33.800177,151.296898,100,,,,100,,,FALSE,,,Ecklonia radiata,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.296898 -33.800177),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,U,,,,
30,4976708,15-05-11 12:28,15-05-11,2011-05-15 02:28:32 UTC,Sydney,357375,richardling,Richard Ling,2017-01-20 13:15:23 UTC,2023-10-29 02:42:39 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4976708,https://inaturalist-open-data.s3.amazonaws.com/photos/6075560/medium.jpg,,"Chordata, Actinopterygii, fish, Tetraodontiformes, Tetraodontidae, pufferfish, Arothron, Arothron hispidus, Stars-and-stripes Puffer, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",A juvenile Stars-and-stripes Puffer (Arothron hispidus) shelters among kelp,1,0,FALSE,134,"Fairy Bower, Manly, NSW",-33.800618,151.293754,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.293754 -33.800618),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
31,4976724,26-06-11 11:19,26-06-11,2011-06-26 01:19:59 UTC,Sydney,357375,richardling,Richard Ling,2017-01-20 13:20:45 UTC,2022-07-31 07:34:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4976724,https://inaturalist-open-data.s3.amazonaws.com/photos/6075587/medium.jpg,,"Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp, Lessoniaceae, Ecklonia, Ecklonia radiata, Common Kelp",Common Kelp (Ecklonia radiata) with diver,2,0,FALSE,134,"Shelly Beach, Manly, NSW",-33.800177,151.296898,100,,,,100,,,FALSE,,,Ecklonia radiata,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.296898 -33.800177),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,U,,,,
32,4976729,26-06-11 11:28,26-06-11,2011-06-26 01:28:59 UTC,Sydney,357375,richardling,Richard Ling,2017-01-20 13:22:56 UTC,2023-10-29 02:42:45 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4976729,https://inaturalist-open-data.s3.amazonaws.com/photos/6075598/medium.jpg,,"Chordata, Actinopterygii, fish, Perciformes, Enoplosidae, Enoplosus, Enoplosus armatus, Old Wife, Ochrophyta, Phaeophyceae, brown algae, algae, seaweed, Laminariales, kelp",An Old Wife (Enoplosus armatus) among kelp,1,0,FALSE,134,"Shelly Beach, Manly, NSW",-33.800177,151.296898,100,,,,100,,,FALSE,,,Common Kelp,Ecklonia radiata,Common Kelp,Chromista,197104,POINT (151.296898 -33.800177),27,Central Eastern Shelf Province,38,Warm Temperate Waters,18222.39388,F,,,,
